content,group,seg_tokens,pos_tags,word_pos_pairs,clean_tokens
对网络上的小屁孩不必浪费口舌。,Group_Child,对 网络 上 的 小屁孩 不必 浪费 口舌 。,p n f uj nr d n n x,对/p 网络/n 上/f 的/uj 小屁孩/nr 不必/d 浪费/n 口舌/n 。/x,"['网络', '不必', '浪费', '口舌']"
我最讨厌现实里那些没边界感只会闯祸的小屁孩。,Group_Child,我 最 讨厌 现实 里 那些 没 边界 感 只 会 闯祸 的 小屁孩 。,r d v n f r v n vg d v v uj nr x,我/r 最/d 讨厌/v 现实/n 里/f 那些/r 没/v 边界/n 感/vg 只/d 会/v 闯祸/v 的/uj 小屁孩/nr 。/x,"['讨厌', '现实', '边界', '闯祸']"
他缺少书卷气，更像是早早辍学的叛逆学生。,Group_Child,他 缺少 书卷气 ， 更 像是 早早 辍学 的 叛逆 学生 。,r v n x d v t v uj v n x,他/r 缺少/v 书卷气/n ，/x 更/d 像是/v 早早/t 辍学/v 的/uj 叛逆/v 学生/n 。/x,"['缺少', '书卷气', '像是', '早早', '辍学', '叛逆', '学生']"
我讨厌没有礼貌的小屁孩直呼我的名字！,Group_Child,我 讨厌 没有 礼貌 的 小屁孩 直呼 我 的 名字 ！,r v v n uj nr v r uj n x,我/r 讨厌/v 没有/v 礼貌/n 的/uj 小屁孩/nr 直呼/v 我/r 的/uj 名字/n ！/x,"['讨厌', '礼貌', '直呼', '名字']"
他就像个小屁孩。,Group_Child,他 就 像 个 小屁孩 。,r d v q nr x,他/r 就/d 像/v 个/q 小屁孩/nr 。/x,[]
我居然被一个小屁孩降维打击了。,Group_Child,我 居然 被 一个 小屁孩 降维 打击 了 。,r d p m nr n v ul x,我/r 居然/d 被/p 一个/m 小屁孩/nr 降维/n 打击/v 了/ul 。/x,"['降维', '打击']"
我不想再当小屁孩了，我想快点长大。,Group_Child,我 不想 再当 小屁孩 了 ， 我 想 快点 长大 。,r v d nr ul x r v d ns x,我/r 不想/v 再当/d 小屁孩/nr 了/ul ，/x 我/r 想/v 快点/d 长大/ns 。/x,"['再当', '快点', '长大']"
我快被一群小屁孩气死了！,Group_Child,我 快 被 一群 小屁孩 气死 了 ！,r a p m nr n ul x,我/r 快/a 被/p 一群/m 小屁孩/nr 气死/n 了/ul ！/x,['气死']
迎面走来的是一群小屁孩方阵。,Group_Child,迎面 走来 的 是 一群 小屁孩 方阵 。,d v uj v m nr n x,迎面/d 走来/v 的/uj 是/v 一群/m 小屁孩/nr 方阵/n 。/x,"['迎面', '走来', '方阵']"
这里的中二小屁孩含量太高了，看得我头疼。,Group_Child,这里 的 中二 小屁孩 含量 太 高 了 ， 看得 我 头疼 。,r uj nz nr n d a ul x v r a x,这里/r 的/uj 中二/nz 小屁孩/nr 含量/n 太/d 高/a 了/ul ，/x 看得/v 我/r 头疼/a 。/x,"['中二', '含量', '看得', '头疼']"
不知道是被哪个小屁孩顺走了。,Group_Child,不 知道 是 被 哪个 小屁孩 顺 走 了 。,d v v p r nr a v ul x,不/d 知道/v 是/v 被/p 哪个/r 小屁孩/nr 顺/a 走/v 了/ul 。/x,[]
大家不都还是小屁孩吗？怎么就悄悄结婚了呢？,Group_Child,大家 不 都 还是 小屁孩 吗 ？ 怎么 就 悄悄 结婚 了 呢 ？,n d d c nr y x r d z v ul y x,大家/n 不/d 都/d 还是/c 小屁孩/nr 吗/y ？/x 怎么/r 就/d 悄悄/z 结婚/v 了/ul 呢/y ？/x,"['悄悄', '结婚']"
小屁孩可是很记仇的。,Group_Child,小屁孩 可是 很 记仇 的 。,nr c zg v uj x,小屁孩/nr 可是/c 很/zg 记仇/v 的/uj 。/x,['记仇']
我一半的时间都在躲避小屁孩。,Group_Child,我 一半 的 时间 都 在 躲避 小屁孩 。,r m uj n d p v nr x,我/r 一半/m 的/uj 时间/n 都/d 在/p 躲避/v 小屁孩/nr 。/x,"['一半', '时间', '躲避']"
我家的孩子怎么这么叛逆？,Group_Child,我家 的 孩子 怎么 这么 叛逆 ？,r uj n r r v x,我家/r 的/uj 孩子/n 怎么/r 这么/r 叛逆/v ？/x,"['我家', '叛逆']"
别再把这种傻逼小屁孩推送到我面前了。,Group_Child,别 再 把 这种 傻 逼 小屁孩 推送 到 我 面前 了 。,d d p r a v nr v v r f ul x,别/d 再/d 把/p 这种/r 傻/a 逼/v 小屁孩/nr 推送/v 到/v 我/r 面前/f 了/ul 。/x,"['推送', '面前']"
这么高压的家庭，居然没让她变得叛逆。,Group_Child,这么 高压 的 家庭 ， 居然 没 让 她 变得 叛逆 。,r n uj n x d d v r v v x,这么/r 高压/n 的/uj 家庭/n ，/x 居然/d 没/d 让/v 她/r 变得/v 叛逆/v 。/x,"['高压', '家庭', '变得', '叛逆']"
老师要叫家长了，我对那个小屁孩说：“不要！”。,Group_Child,老师 要 叫 家长 了 ， 我 对 那个 小屁孩 说 ： “ 不要 ！ ” 。,n v v n ul x r p r nr v x x df x x x,老师/n 要/v 叫/v 家长/n 了/ul ，/x 我/r 对/p 那个/r 小屁孩/nr 说/v ：/x “/x 不要/df ！/x ”/x 。/x,"['老师', '家长']"
他对那个叛逆期的小少爷很是包容。,Group_Child,他 对 那个 叛逆 期 的 小少爷 很 是 包容 。,r p r v q uj nr d v v x,他/r 对/p 那个/r 叛逆/v 期/q 的/uj 小少爷/nr 很/d 是/v 包容/v 。/x,"['叛逆', '小少爷', '包容']"
熊孩子活该被骂。,Group_Child,熊孩子 活该 被 骂 。,x v p v x,熊孩子/x 活该/v 被/p 骂/v 。/x,"['熊孩子', '活该']"
什么时候能设置小屁孩专车厢！,Group_Child,什么 时候 能 设置 小屁孩 专 车厢 ！,r n v vn nr n n x,什么/r 时候/n 能/v 设置/vn 小屁孩/nr 专/n 车厢/n ！/x,"['设置', '车厢']"
晚上那个小屁孩给我打电话，语气毫无波澜。,Group_Child,晚上 那个 小屁孩 给 我 打电话 ， 语气 毫无 波澜 。,t r nr p r l x n v nz x,晚上/t 那个/r 小屁孩/nr 给/p 我/r 打电话/l ，/x 语气/n 毫无/v 波澜/nz 。/x,"['晚上', '打电话', '语气', '毫无', '波澜']"
这两个人就像叛逆期的学生，你越是要拆散他们，他们越要在一起。,Group_Child,这 两个 人 就 像 叛逆 期 的 学生 ， 你 越是 要 拆散 他们 ， 他们 越要 在 一起 。,r m n d v v q uj n x r d v v r x r d p m x,这/r 两个/m 人/n 就/d 像/v 叛逆/v 期/q 的/uj 学生/n ，/x 你/r 越是/d 要/v 拆散/v 他们/r ，/x 他们/r 越要/d 在/p 一起/m 。/x,"['叛逆', '学生', '拆散', '越要']"
熊孩子能不能滚蛋啊？,Group_Child,熊孩子 能 不能 滚蛋 啊 ？,x v v n zg x,熊孩子/x 能/v 不能/v 滚蛋/n 啊/zg ？/x,"['熊孩子', '滚蛋']"
你们都是群小屁孩，滚犊子吧！,Group_Child,你们 都 是 群 小屁孩 ， 滚 犊子 吧 ！,r d v q nr x v n y x,你们/r 都/d 是/v 群/q 小屁孩/nr ，/x 滚/v 犊子/n 吧/y ！/x,['犊子']
那个小屁孩又去撞人，终于被大人呵斥了。,Group_Child,那个 小屁孩 又 去 撞 人 ， 终于 被 大人 呵斥 了 。,r nr d v v n x d p n v ul x,那个/r 小屁孩/nr 又/d 去/v 撞/v 人/n ，/x 终于/d 被/p 大人/n 呵斥/v 了/ul 。/x,"['终于', '大人', '呵斥']"
叛逆的少女离家出走了。,Group_Child,叛逆 的 少女 离家出走 了 。,v uj n i ul x,叛逆/v 的/uj 少女/n 离家出走/i 了/ul 。/x,"['叛逆', '少女', '离家出走']"
降噪耳机也挡不住小屁孩的哭喊声。,Group_Child,降噪 耳机 也 挡不住 小屁孩 的 哭喊声 。,v n d v nr uj i x,降噪/v 耳机/n 也/d 挡不住/v 小屁孩/nr 的/uj 哭喊声/i 。/x,"['降噪', '耳机', '挡不住', '哭喊声']"
叛逆又不交作业的高中男生，基本都会抽烟。,Group_Child,叛逆 又 不交 作业 的 高中 男生 ， 基本 都 会 抽烟 。,v d v n uj s n x n d v v x,叛逆/v 又/d 不交/v 作业/n 的/uj 高中/s 男生/n ，/x 基本/n 都/d 会/v 抽烟/v 。/x,"['叛逆', '不交', '作业', '高中', '男生', '抽烟']"
我真想把那个小屁孩扔到学习小组里，让老师好好抽他一顿。,Group_Child,我 真 想 把 那个 小屁孩 扔 到 学习 小组 里 ， 让 老师 好好 抽 他 一顿 。,r d v p r nr v v v n f x v n d v r m x,我/r 真/d 想/v 把/p 那个/r 小屁孩/nr 扔/v 到/v 学习/v 小组/n 里/f ，/x 让/v 老师/n 好好/d 抽/v 他/r 一顿/m 。/x,"['学习', '小组', '老师', '好好', '一顿']"
我真是服了这个小屁孩。,Group_Child,我 真是 服 了 这个 小屁孩 。,r d v ul r nr x,我/r 真是/d 服/v 了/ul 这个/r 小屁孩/nr 。/x,[]
被小屁孩烦死的一天，真烦！,Group_Child,被 小屁孩 烦死 的 一天 ， 真烦 ！,p nr a uj m x a x,被/p 小屁孩/nr 烦死/a 的/uj 一天/m ，/x 真烦/a ！/x,"['烦死', '真烦']"
我真的讨厌这些小屁孩。,Group_Child,我 真的 讨厌 这些 小屁孩 。,r d v r nr x,我/r 真的/d 讨厌/v 这些/r 小屁孩/nr 。/x,['讨厌']
我到叛逆期了，别人越劝我，我越想走。,Group_Child,我 到 叛逆 期 了 ， 别人 越 劝 我 ， 我 越 想 走 。,r v v q ul x r d v r x r d v v x,我/r 到/v 叛逆/v 期/q 了/ul ，/x 别人/r 越/d 劝/v 我/r ，/x 我/r 越/d 想/v 走/v 。/x,"['叛逆', '别人']"
你这个小屁孩，谁跟你说要减肥的？,Group_Child,你 这个 小屁孩 ， 谁 跟 你 说 要 减肥 的 ？,r r nr x r p r v v v uj x,你/r 这个/r 小屁孩/nr ，/x 谁/r 跟/p 你/r 说/v 要/v 减肥/v 的/uj ？/x,['减肥']
这个小屁孩怎么还没被接走？,Group_Child,这个 小屁孩 怎么 还 没 被 接走 ？,r nr r d d p v x,这个/r 小屁孩/nr 怎么/r 还/d 没/d 被/p 接走/v ？/x,['接走']
他看起来跟个小屁孩似的。,Group_Child,他 看起来 跟 个 小屁孩 似的 。,r v p m nr u x,他/r 看起来/v 跟/p 个/m 小屁孩/nr 似的/u 。/x,['看起来']
我真的很讨厌小孩，特别是那种大中午又叫又闹的小屁孩！,Group_Child,我 真的 很 讨厌 小孩 ， 特别 是 那种 大 中午 又 叫 又 闹 的 小屁孩 ！,r d zg v n x d v r a t d v d v uj nr x,我/r 真的/d 很/zg 讨厌/v 小孩/n ，/x 特别/d 是/v 那种/r 大/a 中午/t 又/d 叫/v 又/d 闹/v 的/uj 小屁孩/nr ！/x,"['讨厌', '特别', '那种', '中午']"
我真受不了了，这会教坏小屁孩的。,Group_Child,我 真受不了 了 ， 这 会 教坏 小屁孩 的 。,r l ul x r v v nr uj x,我/r 真受不了/l 了/ul ，/x 这/r 会/v 教坏/v 小屁孩/nr 的/uj 。/x,"['真受不了', '教坏']"
我都三十多了，还要在网上跟十几岁的小屁孩吵架。,Group_Child,我 都 三十多 了 ， 还要 在 网上 跟 十几岁 的 小屁孩 吵架 。,r d m ul x c p s p m uj nr v x,我/r 都/d 三十多/m 了/ul ，/x 还要/c 在/p 网上/s 跟/p 十几岁/m 的/uj 小屁孩/nr 吵架/v 。/x,"['三十多', '还要', '网上', '十几岁', '吵架']"
那个小屁孩居然告诉我三角形内角和是70度。,Group_Child,那个 小屁孩 居然 告诉 我 三角形 内角 和 是 70 度 。,r nr d v r n n c v m q x,那个/r 小屁孩/nr 居然/d 告诉/v 我/r 三角形/n 内角/n 和/c 是/v 70/m 度/q 。/x,"['告诉', '三角形', '内角', '70']"
说话从不超过两句，那个小屁孩又在装酷了。,Group_Child,说话 从不 超过 两句 ， 那个 小屁孩 又 在 装酷 了 。,v d v m x r nr d p n ul x,说话/v 从不/d 超过/v 两句/m ，/x 那个/r 小屁孩/nr 又/d 在/p 装酷/n 了/ul 。/x,"['说话', '从不', '超过', '两句', '装酷']"
坐长途飞机最怕遇到爱哭的小屁孩。,Group_Child,坐 长途 飞机 最 怕 遇到 爱哭 的 小屁孩 。,v d n d v v v uj nr x,坐/v 长途/d 飞机/n 最/d 怕/v 遇到/v 爱哭/v 的/uj 小屁孩/nr 。/x,"['长途', '飞机', '爱哭']"
一大早就被对面的小屁孩吵醒了。,Group_Child,一大早 就 被 对面 的 小屁孩 吵醒 了 。,l d p n uj nr v ul x,一大早/l 就/d 被/p 对面/n 的/uj 小屁孩/nr 吵醒/v 了/ul 。/x,"['一大早', '对面', '吵醒']"
那个小屁孩还是个校霸。,Group_Child,那个 小屁孩 还是 个校 霸 。,r nr c n n x,那个/r 小屁孩/nr 还是/c 个校/n 霸/n 。/x,['个校']
孩子在学习阶段不认真或很叛逆，家长就很煎熬。,Group_Child,孩子 在 学习 阶段 不 认真 或 很 叛逆 ， 家长 就 很 煎熬 。,n p v n d ad c d v x n d d v x,孩子/n 在/p 学习/v 阶段/n 不/d 认真/ad 或/c 很/d 叛逆/v ，/x 家长/n 就/d 很/d 煎熬/v 。/x,"['学习', '阶段', '叛逆', '家长', '煎熬']"
对于叛逆期的弟弟，真是又爱又恨。,Group_Child,对于 叛逆 期 的 弟弟 ， 真是 又 爱 又 恨 。,p v q uj n x d d v d v x,对于/p 叛逆/v 期/q 的/uj 弟弟/n ，/x 真是/d 又/d 爱/v 又/d 恨/v 。/x,"['叛逆', '弟弟']"
在大街上乱抽烟、到处尖叫的小屁孩就该被捅死。,Group_Child,在 大街 上乱 抽烟 、 到处 尖叫 的 小屁孩 就 该 被 捅 死 。,p ns v v x d v uj nr d r p v v x,在/p 大街/ns 上乱/v 抽烟/v 、/x 到处/d 尖叫/v 的/uj 小屁孩/nr 就/d 该/r 被/p 捅/v 死/v 。/x,"['大街', '上乱', '抽烟', '到处', '尖叫']"
叛逆的儿子和他那坏心眼的老母亲。,Group_Child,叛逆 的 儿子 和 他 那 坏心眼 的 老 母亲 。,v uj n c r r n uj n n x,叛逆/v 的/uj 儿子/n 和/c 他/r 那/r 坏心眼/n 的/uj 老/n 母亲/n 。/x,"['叛逆', '坏心眼', '母亲']"
孩子叛逆，有什么办法，受着呗。,Group_Child,孩子 叛逆 ， 有 什么 办法 ， 受 着 呗 。,n v x v r n x v uz y x,孩子/n 叛逆/v ，/x 有/v 什么/r 办法/n ，/x 受/v 着/uz 呗/y 。/x,"['叛逆', '办法']"
你们这些小屁孩什么时候才能明白，感情是感情？,Group_Child,你们 这些 小屁孩 什么 时候 才能 明白 ， 感情 是 感情 ？,r r nr r n v nr x n v n x,你们/r 这些/r 小屁孩/nr 什么/r 时候/n 才能/v 明白/nr ，/x 感情/n 是/v 感情/n ？/x,"['明白', '感情', '感情']"
现在的小屁孩说话能不能带点脑子？,Group_Child,现在 的 小屁孩 说话 能 不能 带 点 脑子 ？,t uj nr v v v v q n x,现在/t 的/uj 小屁孩/nr 说话/v 能/v 不能/v 带/v 点/q 脑子/n ？/x,"['说话', '脑子']"
一群没素质的人，自然教出来一群没素质的小屁孩。,Group_Child,一群 没素质 的 人 ， 自然 教 出来 一群 没素质 的 小屁孩 。,m x uj n x d v v m x uj nr x,一群/m 没素质/x 的/uj 人/n ，/x 自然/d 教/v 出来/v 一群/m 没素质/x 的/uj 小屁孩/nr 。/x,"['没素质', '自然', '没素质']"
你遇到的可能是个冥顽不灵的叛逆少年。,Group_Child,你 遇到 的 可能 是 个 冥顽不灵 的 叛逆 少年 。,r v uj v v q i uj v m x,你/r 遇到/v 的/uj 可能/v 是/v 个/q 冥顽不灵/i 的/uj 叛逆/v 少年/m 。/x,"['冥顽不灵', '叛逆', '少年']"
叛逆期的孩子真的太让我烦心了。,Group_Child,叛逆 期 的 孩子 真的 太 让 我 烦心 了 。,v q uj n d d v r a ul x,叛逆/v 期/q 的/uj 孩子/n 真的/d 太/d 让/v 我/r 烦心/a 了/ul 。/x,"['叛逆', '烦心']"
这部剧还在讲那个糟糕的父亲和叛逆的女儿的故事。,Group_Child,这部 剧 还 在 讲 那个 糟糕 的 父亲 和 叛逆 的 女儿 的 故事 。,r n d p v r a uj n c v uj n uj n x,这部/r 剧/n 还/d 在/p 讲/v 那个/r 糟糕/a 的/uj 父亲/n 和/c 叛逆/v 的/uj 女儿/n 的/uj 故事/n 。/x,"['这部', '糟糕', '父亲', '叛逆', '故事']"
我真想揍那个大喊大叫的小屁孩。,Group_Child,我 真 想 揍 那个 大喊大叫 的 小屁孩 。,r d v v r i uj nr x,我/r 真/d 想/v 揍/v 那个/r 大喊大叫/i 的/uj 小屁孩/nr 。/x,['大喊大叫']
戴上姐姐的生日帽，真是个臭美的小屁孩。,Group_Child,戴 上 姐姐 的 生日 帽 ， 真是 个 臭美 的 小屁孩 。,v f n uj t zg x d q n uj nr x,戴/v 上/f 姐姐/n 的/uj 生日/t 帽/zg ，/x 真是/d 个/q 臭美/n 的/uj 小屁孩/nr 。/x,"['姐姐', '生日', '臭美']"
他虽然长大了，但骨子里依旧是个小屁孩。,Group_Child,他 虽然 长大 了 ， 但 骨子里 依旧 是 个 小屁孩 。,r c ns ul x c n z v q nr x,他/r 虽然/c 长大/ns 了/ul ，/x 但/c 骨子里/n 依旧/z 是/v 个/q 小屁孩/nr 。/x,"['长大', '骨子里', '依旧']"
三岁的小孩就开始叛逆了，你指东她偏往西。,Group_Child,三岁 的 小孩 就 开始 叛逆 了 ， 你 指东 她 偏 往 西 。,m uj n d v v ul x r n r d p s x,三岁/m 的/uj 小孩/n 就/d 开始/v 叛逆/v 了/ul ，/x 你/r 指东/n 她/r 偏/d 往/p 西/s 。/x,"['三岁', '叛逆', '指东']"
我也是，跟一个小屁孩有什么好说的。,Group_Child,我 也 是 ， 跟 一个 小屁孩 有 什么 好 说 的 。,r d v x p m nr v r a v uj x,我/r 也/d 是/v ，/x 跟/p 一个/m 小屁孩/nr 有/v 什么/r 好/a 说/v 的/uj 。/x,[]
他家那个未成年的女儿正值叛逆期，每天都混在男人堆里。,Group_Child,他家 那个 未成年 的 女儿 正值 叛逆 期 ， 每天 都 混 在 男人 堆 里 。,r r l uj n n v n x r d v p n v f x,他家/r 那个/r 未成年/l 的/uj 女儿/n 正值/n 叛逆/v 期/n ，/x 每天/r 都/d 混/v 在/p 男人/n 堆/v 里/f 。/x,"['他家', '未成年', '正值', '叛逆', '男人']"
不要再管那群小屁孩一天到晚的破事了。,Group_Child,不要 再管 那 群 小屁孩 一天到晚 的 破事 了 。,df c r q nr l uj v ul x,不要/df 再管/c 那/r 群/q 小屁孩/nr 一天到晚/l 的/uj 破事/v 了/ul 。/x,"['再管', '一天到晚', '破事']"
我不知道是多无知的小屁孩，才能说出“太好了又能上网课了”这种话。,Group_Child,我 不 知道 是 多 无知 的 小屁孩 ， 才能 说出 “ 太好了 又 能 上网 课 了 ” 这种 话 。,r d v v m v uj nr x v v x l d v v n ul x r n x,我/r 不/d 知道/v 是/v 多/m 无知/v 的/uj 小屁孩/nr ，/x 才能/v 说出/v “/x 太好了/l 又/d 能/v 上网/v 课/n 了/ul ”/x 这种/r 话/n 。/x,"['无知', '说出', '太好了', '上网']"
两个嬉皮笑脸的小屁孩居然管我叫阿姨。,Group_Child,两个 嬉皮笑脸 的 小屁孩 居然 管 我 叫 阿姨 。,m l uj nr d v r v nr x,两个/m 嬉皮笑脸/l 的/uj 小屁孩/nr 居然/d 管/v 我/r 叫/v 阿姨/nr 。/x,"['嬉皮笑脸', '阿姨']"
能指望一个字都认不全的小屁孩有什么艺术启发吗？,Group_Child,能 指望 一个 字 都 认不全 的 小屁孩 有 什么 艺术 启发 吗 ？,v v m n d v uj nr v r n v y x,能/v 指望/v 一个/m 字/n 都/d 认不全/v 的/uj 小屁孩/nr 有/v 什么/r 艺术/n 启发/v 吗/y ？/x,"['指望', '认不全', '艺术', '启发']"
那个警察的叛逆女儿，真是个废物。,Group_Child,那个 警察 的 叛逆 女儿 ， 真是 个 废物 。,r v uj v n x d q n x,那个/r 警察/v 的/uj 叛逆/v 女儿/n ，/x 真是/d 个/q 废物/n 。/x,"['警察', '叛逆', '废物']"
是的，我又和小屁孩吵了一架。,Group_Child,是 的 ， 我 又 和 小屁孩 吵 了 一架 。,v uj x r d c nr v ul m x,是/v 的/uj ，/x 我/r 又/d 和/c 小屁孩/nr 吵/v 了/ul 一架/m 。/x,['一架']
别跟小屁孩一样玩过家家了。,Group_Child,别 跟 小屁孩 一样 玩 过家家 了 。,d p nr r v n ul x,别/d 跟/p 小屁孩/nr 一样/r 玩/v 过家家/n 了/ul 。/x,['过家家']
那个小屁孩竟然被吓哭了。,Group_Child,那个 小屁孩 竟然 被 吓哭 了 。,r nr d p v ul x,那个/r 小屁孩/nr 竟然/d 被/p 吓哭/v 了/ul 。/x,['吓哭']
那个内在叛逆的小姑娘终于爆发了。,Group_Child,那个 内在 叛逆 的 小姑娘 终于 爆发 了 。,r b v uj nr d v ul x,那个/r 内在/b 叛逆/v 的/uj 小姑娘/nr 终于/d 爆发/v 了/ul 。/x,"['内在', '叛逆', '小姑娘', '终于', '爆发']"
我明天要离这个小屁孩远一点。,Group_Child,我 明天 要离 这个 小屁孩 远 一点 。,r t v r nr a m x,我/r 明天/t 要离/v 这个/r 小屁孩/nr 远/a 一点/m 。/x,"['明天', '要离', '一点']"
烦死了，这个小屁孩天天就知道拱火。,Group_Child,烦死 了 ， 这个 小屁孩 天天 就 知道 拱火 。,a ul x r nr t d v v x,烦死/a 了/ul ，/x 这个/r 小屁孩/nr 天天/t 就/d 知道/v 拱火/v 。/x,"['烦死', '天天', '拱火']"
他感觉自己像个没断奶的小屁孩一样。,Group_Child,他 感觉 自己 像 个 没 断奶 的 小屁孩 一样 。,r n r v q v n uj nr r x,他/r 感觉/n 自己/r 像/v 个/q 没/v 断奶/n 的/uj 小屁孩/nr 一样/r 。/x,['断奶']
那个小屁孩都一米五了，坐公交还只投一块钱。,Group_Child,那个 小屁孩 都 一米 五 了 ， 坐 公交 还 只 投 一块钱 。,r nr d m m ul x v n d d v n x,那个/r 小屁孩/nr 都/d 一米/m 五/m 了/ul ，/x 坐/v 公交/n 还/d 只/d 投/v 一块钱/n 。/x,"['一米', '公交', '一块钱']"
这个未成年人像个小屁孩。,Group_Child,这个 未成年人 像 个 小屁孩 。,r l v q nr x,这个/r 未成年人/l 像/v 个/q 小屁孩/nr 。/x,['未成年人']
小屁孩一进剧场就会吵闹，让人没法好好看演出。,Group_Child,小屁孩 一 进 剧场 就 会 吵闹 ， 让 人 没法 好好看 演出 。,nr m v n d v v x v n v a v x,小屁孩/nr 一/m 进/v 剧场/n 就/d 会/v 吵闹/v ，/x 让/v 人/n 没法/v 好好看/a 演出/v 。/x,"['剧场', '吵闹', '没法', '好好看', '演出']"
少年时期的他性格鲜明，时而叛逆，时而文艺。,Group_Child,少年时期 的 他 性格 鲜明 ， 时而 叛逆 ， 时而 文艺 。,n uj r n a x d v x d n x,少年时期/n 的/uj 他/r 性格/n 鲜明/a ，/x 时而/d 叛逆/v ，/x 时而/d 文艺/n 。/x,"['少年时期', '性格', '鲜明', '时而', '叛逆', '时而', '文艺']"
我很后悔，当时极度叛逆，把妈妈送来的早饭直接扔了。,Group_Child,我 很 后悔 ， 当时 极度 叛逆 ， 把 妈妈 送来 的 早饭 直接 扔 了 。,r d v x t d v x p n v uj n ad v ul x,我/r 很/d 后悔/v ，/x 当时/t 极度/d 叛逆/v ，/x 把/p 妈妈/n 送来/v 的/uj 早饭/n 直接/ad 扔/v 了/ul 。/x,"['后悔', '极度', '叛逆', '妈妈', '送来', '早饭']"
把日记本-当记仇本，这是小屁孩才会干的事吧？,Group_Child,把 日记本 - 当 记仇 本 ， 这 是 小屁孩 才 会 干的事 吧 ？,p n x t v r x r v nr d v n y x,把/p 日记本/n -/x 当/t 记仇/v 本/r ，/x 这/r 是/v 小屁孩/nr 才/d 会/v 干的事/n 吧/y ？/x,"['日记本', '记仇', '干的事']"
你们先别开始，我的搭档还在叛逆期呢。,Group_Child,你们 先 别 开始 ， 我 的 搭档 还 在 叛逆 期 呢 。,r d r v x r uj v d p v q y x,你们/r 先/d 别/r 开始/v ，/x 我/r 的/uj 搭档/v 还/d 在/p 叛逆/v 期/q 呢/y 。/x,"['搭档', '叛逆']"
那个小屁孩把我给看生气了。,Group_Child,那个 小屁孩 把 我 给 看 生气 了 。,r nr p r p v n ul x,那个/r 小屁孩/nr 把/p 我/r 给/p 看/v 生气/n 了/ul 。/x,['生气']
那个小屁孩真是又臭屁又讨厌。,Group_Child,那个 小屁孩 真是 又 臭屁 又 讨厌 。,r nr d d n d v x,那个/r 小屁孩/nr 真是/d 又/d 臭屁/n 又/d 讨厌/v 。/x,"['臭屁', '讨厌']"
他的叛逆期是从一岁就开始了吗？,Group_Child,他 的 叛逆 期 是从 一岁 就 开始 了 吗 ？,r uj v n v m d v ul y x,他/r 的/uj 叛逆/v 期/n 是从/v 一岁/m 就/d 开始/v 了/ul 吗/y ？/x,"['叛逆', '是从', '一岁']"
小儿子到了叛逆期，一说他就哭，还会顶嘴，根本说不通道理。,Group_Child,小儿子 到 了 叛逆 期 ， 一 说 他 就 哭 ， 还 会 顶嘴 ， 根本 说 不通 道理 。,nr v ul v n x m v r d v x d v n x a v a n x,小儿子/nr 到/v 了/ul 叛逆/v 期/n ，/x 一/m 说/v 他/r 就/d 哭/v ，/x 还/d 会/v 顶嘴/n ，/x 根本/a 说/v 不通/a 道理/n 。/x,"['小儿子', '叛逆', '顶嘴', '不通', '道理']"
那个小屁孩就爱用小天才手表打电话。,Group_Child,那个 小屁孩 就 爱 用 小 天才 手表 打电话 。,r nr d v p n n n l x,那个/r 小屁孩/nr 就/d 爱/v 用/p 小/n 天才/n 手表/n 打电话/l 。/x,"['天才', '手表', '打电话']"
你个二年级的小屁孩，嫌什么幼稚！,Group_Child,你个 二年级 的 小屁孩 ， 嫌 什么 幼稚 ！,r b uj nr x v r a x,你个/r 二年级/b 的/uj 小屁孩/nr ，/x 嫌/v 什么/r 幼稚/a ！/x,"['你个', '二年级', '幼稚']"
一个八岁的女孩真的有叛逆期吗？,Group_Child,一个八岁 的 女孩 真的 有 叛逆 期 吗 ？,m uj n d v v q y x,一个八岁/m 的/uj 女孩/n 真的/d 有/v 叛逆/v 期/q 吗/y ？/x,"['一个八岁', '女孩', '叛逆']"
谁爱和十几岁的小屁孩掰扯啊？,Group_Child,谁 爱 和 十几岁 的 小屁孩 掰 扯 啊 ？,r v c m uj nr v v y x,谁/r 爱/v 和/c 十几岁/m 的/uj 小屁孩/nr 掰/v 扯/v 啊/y ？/x,['十几岁']
对于青春期叛逆的女儿，应该怎么办？,Group_Child,对于 青春期 叛逆 的 女儿 ， 应该 怎么办 ？,p t v uj n x v l x,对于/p 青春期/t 叛逆/v 的/uj 女儿/n ，/x 应该/v 怎么办/l ？/x,"['青春期', '叛逆']"
小屁孩平时早起困难，一到周末就起得特别早，真让人无语。,Group_Child,小屁孩 平时 早起 困难 ， 一 到 周末 就 起 得 特别 早 ， 真让人 无 语 。,nr t v an x m v t d v ud d a x n v ng x,小屁孩/nr 平时/t 早起/v 困难/an ，/x 一/m 到/v 周末/t 就/d 起/v 得/ud 特别/d 早/a ，/x 真让人/n 无/v 语/ng 。/x,"['平时', '早起', '困难', '周末', '特别', '真让人']"
他牙都没长全，就开始叛逆了。,Group_Child,他 牙 都 没长 全 ， 就 开始 叛逆 了 。,r n d v n x d v v ul x,他/r 牙/n 都/d 没长/v 全/n ，/x 就/d 开始/v 叛逆/v 了/ul 。/x,"['没长', '叛逆']"
